Model,CalculationLevel,SchoolYear,CountDate,DistrictCode,DistrictName,LEAType,IncludeInStatewide,SchoolCode,SchoolName,IsSchool,IsSchoolCalculationUnit,CalculationUnitType,CalculationUnitName,CalculationUnitSequence,SchoolCalculationUnitCount,OperationalEnrollmentBasis,CharterBuildingPolicy,FundingSection,Component,RateComponent,QuantityType,SourceField,Rule,RawInputValue,AppliedFactor,FundingQuantity,CalculationStatus,CalculationComplete
Proposed model,School,2026,2025-09-30,10,Caesar Rodney School District,District,TRUE,622,W. Reily Brown Elementary School,TRUE,FALSE,Official school/program record,W. Reily Brown Elementary School,,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Operational Funding (State Support),Operational Funding - Basic Special Education,Operational Funding - Basic Special Education,Weighted student,EnrollmentPreK + EnrollmentBasicK12,Basic Pre-K special education plus Basic K-12 enrollment multiplied by 0.48.,35,0.48,16.8,Calculated from official shared school/charter total,TRUE
Proposed model,School,2026,2025-09-30,10,Caesar Rodney School District,District,TRUE,622,W. Reily Brown Elementary School,TRUE,FALSE,Official school/program record,W. Reily Brown Elementary School,,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Operational Funding (State Support),Operational Funding - Complex Special Education,Operational Funding - Complex Special Education,Weighted student,EnrollmentComplex,Complex enrollment multiplied by 1.54.,4,1.54,6.16,Calculated from official shared school/charter total,TRUE
Proposed model,School,2026,2025-09-30,10,Caesar Rodney School District,District,TRUE,622,W. Reily Brown Elementary School,TRUE,FALSE,Official school/program record,W. Reily Brown Elementary School,,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Operational Funding (State Support),Operational Funding - Enrollment,Operational Funding - Enrollment,Weighted student,OperationalEnrollmentCount,The selected operational enrollment count multiplied by 0.20.,487,0.2,97.4,Calculated using total enrollment,TRUE
Proposed model,School,2026,2025-09-30,10,Caesar Rodney School District,District,TRUE,622,W. Reily Brown Elementary School,TRUE,FALSE,Official school/program record,W. Reily Brown Elementary School,,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Operational Funding (State Support),Operational Funding - Intensive Special Education,Operational Funding - Intensive Special Education,Weighted student,EnrollmentIntense,Intensive enrollment multiplied by 0.67.,28,0.67,18.76,Calculated from official shared school/charter total,TRUE
Proposed model,School,2026,2025-09-30,10,Caesar Rodney School District,District,TRUE,622,W. Reily Brown Elementary School,TRUE,FALSE,Official school/program record,W. Reily Brown Elementary School,,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Operational Funding (State Support),Operational Funding - Low Income,Operational Funding - Low Income,Weighted student,LI,Low-income enrollment multiplied by 0.675.,154,0.675,103.95,Calculated from official shared school/charter total,TRUE
Proposed model,School,2026,2025-09-30,10,Caesar Rodney School District,District,TRUE,622,W. Reily Brown Elementary School,TRUE,FALSE,Official school/program record,W. Reily Brown Elementary School,,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Operational Funding (State Support),Operational Funding - Multilingual Learner,Operational Funding - Multilingual Learner,Weighted student,MLL,Multilingual learner enrollment multiplied by 0.47.,89,0.47,41.83,Calculated from official shared school/charter total,TRUE
Proposed model,School,2026,2025-09-30,10,Caesar Rodney School District,District,TRUE,622,W. Reily Brown Elementary School,TRUE,FALSE,Official school/program record,W. Reily Brown Elementary School,,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Operational Funding (State Support),Operational Funding - Vocational,Operational Funding - Vocational,Weighted student,VocationalEnrollment,Calculator vocational enrollment multiplied by 0.20.,0,0.2,0,Calculator school row,TRUE
Proposed model,School,2026,2025-09-30,10,Caesar Rodney School District,District,TRUE,622,W. Reily Brown Elementary School,TRUE,FALSE,Official school/program record,W. Reily Brown Elementary School,,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Opportunity Funding (State Support),Opportunity Funding - Low Income,Opportunity Funding - Low Income,Weighted student,LI,Low-income enrollment multiplied by 0.675.,154,0.675,103.95,Calculated from official shared school/charter total,TRUE
Proposed model,School,2026,2025-09-30,10,Caesar Rodney School District,District,TRUE,622,W. Reily Brown Elementary School,TRUE,FALSE,Official school/program record,W. Reily Brown Elementary School,,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Opportunity Funding (State Support),Opportunity Funding - Multilingual Learner,Opportunity Funding - Multilingual Learner,Weighted student,MLL,Multilingual learner enrollment multiplied by 0.47.,89,0.47,41.83,Calculated from official shared school/charter total,TRUE
Proposed model,LEA,2026,2025-09-30,74,Campus Community School,Charter,TRUE,,LEA Total,FALSE,FALSE,LEA total,LEA Total,,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Central Office Funding (State Support),11-Month Supervisor,11-Month Supervisor,Position,TotalBasePositions,Total Base positions divided by 150; fractional positions are retained.,38.61553113553114,0.006666666666666667,0.2574368742368743,Calculated from Total Base positions; fractional positions retained,TRUE
Proposed model,LEA,2026,2025-09-30,74,Campus Community School,Charter,TRUE,,LEA Total,FALSE,FALSE,LEA total,LEA Total,,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Central Office Funding (State Support),Administrative Assistant,Administrative Assistant,Position,LEA,One position per LEA.,1,1,1,Calculated,TRUE
Proposed model,LEA,2026,2025-09-30,74,Campus Community School,Charter,TRUE,,LEA Total,FALSE,FALSE,LEA total,LEA Total,,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Central Office Funding (State Support),Assistant Superintendent,Assistant Superintendent,Position,TotalBasePositions,"One per completed 300 Total Base positions, capped at two. The proposed materials do not explicitly authorize fractional positions, so the current-model completed-threshold rule is retained.",38.61553113553114,,0,Calculated from Total Base positions using completed 300-position thresholds; maximum two,TRUE
Proposed model,LEA,2026,2025-09-30,74,Campus Community School,Charter,TRUE,,LEA Total,FALSE,FALSE,LEA total,LEA Total,,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Central Office Funding (State Support),Buildings and Grounds Supervisor,Buildings and Grounds Supervisor,Position,LEA,One position per LEA.,1,1,1,Calculated,TRUE
Proposed model,LEA,2026,2025-09-30,74,Campus Community School,Charter,TRUE,,LEA Total,FALSE,FALSE,LEA total,LEA Total,,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Central Office Funding (State Support),Director,Director,Position,TotalBasePositions,"One at 200 Total Base positions plus one per completed additional 100, capped at six.",38.61553113553114,,0,Calculated from Total Base positions using completed thresholds,TRUE
Proposed model,LEA,2026,2025-09-30,74,Campus Community School,Charter,TRUE,,LEA Total,FALSE,FALSE,LEA total,LEA Total,,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Central Office Funding (State Support),Food Services Supervisor,Food Services Supervisor,Position,BaseDivisionIPositions,One per LEA plus one per completed 500 Base Division I positions beyond the first 500.,28.012942612942616,,1,Calculated from Base Division I positions using completed thresholds,TRUE
Proposed model,LEA,2026,2025-09-30,74,Campus Community School,Charter,TRUE,,LEA Total,FALSE,FALSE,LEA total,LEA Total,,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Central Office Funding (State Support),Reading Cadre,Reading Cadre,Position,LEA,One position per LEA.,1,1,1,Calculated,TRUE
Proposed model,LEA,2026,2025-09-30,74,Campus Community School,Charter,TRUE,,LEA Total,FALSE,FALSE,LEA total,LEA Total,,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Central Office Funding (State Support),Superintendent,Superintendent,Position,LEA,One position per LEA.,1,1,1,Calculated,TRUE
Proposed model,LEA,2026,2025-09-30,74,Campus Community School,Charter,TRUE,,LEA Total,FALSE,FALSE,LEA total,LEA Total,,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Central Office Funding (State Support),Transportation Supervisor,Transportation Supervisor,Position,Enrollment,"Enrollment divided by 7,500.",402,1.3333333333333334e-4,0.0536,Calculated,TRUE
Proposed model,School,2026,2025-09-30,74,Campus Community School,Charter,TRUE,573,Campus Community School,TRUE,TRUE,Charter building,Campus Community Primary,1,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Administrative Support Professionals,Administrative Support Professionals,Position,AdministrativeSupportBase,One per 10 positions through 100; one per completed 12 thereafter.,23.55970695970696,,2,Calculated using threshold formula,TRUE
Proposed model,School,2026,2025-09-30,74,Campus Community School,Charter,TRUE,573,Campus Community School,TRUE,TRUE,Charter building,Campus Community Primary,1,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Assistant Principal,Assistant Principal,Position,AssistantPrincipalBase,"Apply the 25, 30, 50, 55, and additional 20-position thresholds.",24.55970695970696,,0,Calculated using threshold formula,TRUE
Proposed model,School,2026,2025-09-30,74,Campus Community School,Charter,TRUE,573,Campus Community School,TRUE,TRUE,Charter building,Campus Community Primary,1,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Division I Teacher - 4-12 Regular Education,Division I Teacher - 4-12 Regular Education,Position,Enrollment4_12,Regular 4-12 enrollment divided by 20.,80,0.05,4,Calculated from adjusted charter building input,TRUE
Proposed model,School,2026,2025-09-30,74,Campus Community School,Charter,TRUE,573,Campus Community School,TRUE,TRUE,Charter building,Campus Community Primary,1,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Division I Teacher - Complex Special Education,Division I Teacher - Complex Special Education,Position,EnrollmentComplex,Complex enrollment divided by 2.6.,6,0.3846153846153846,2.3076923076923075,Calculated from adjusted charter building input,TRUE
Proposed model,School,2026,2025-09-30,74,Campus Community School,Charter,TRUE,573,Campus Community School,TRUE,TRUE,Charter building,Campus Community Primary,1,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Division I Teacher - Intensive Special Education,Division I Teacher - Intensive Special Education,Position,EnrollmentIntense,Intensive enrollment divided by 6.,4,0.16666666666666666,0.6666666666666666,Calculated from adjusted charter building input,TRUE
Proposed model,School,2026,2025-09-30,74,Campus Community School,Charter,TRUE,573,Campus Community School,TRUE,TRUE,Charter building,Campus Community Primary,1,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Division I Teacher - K-3 Regular Education,Division I Teacher - K-3 Regular Education,Position,EnrollmentK3,Regular K-3 enrollment divided by 16.2.,153,0.0617283950617284,9.444444444444445,Calculated from adjusted charter building input,TRUE
Proposed model,School,2026,2025-09-30,74,Campus Community School,Charter,TRUE,573,Campus Community School,TRUE,TRUE,Charter building,Campus Community Primary,1,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Division I Teacher - Pre-K-12 Basic Special Education,Division I Teacher - Basic Special Education,Position,BasicPreK12Enrollment,Basic Pre-K special education plus Basic K-12 enrollment divided by 8.4.,20,0.11904761904761904,2.380952380952381,Calculated from adjusted charter building input,TRUE
Proposed model,School,2026,2025-09-30,74,Campus Community School,Charter,TRUE,573,Campus Community School,TRUE,TRUE,Charter building,Campus Community Primary,1,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Instructional Supports,Instructional Supports,Position,BaseDivisionIPositions,"Twenty percent of all Base Division I positions, including vocational/program adjustment rows.",18.7997557997558,0.2,3.7599511599511604,Calculated from school calculation-unit Base Division I positions,TRUE
Proposed model,School,2026,2025-09-30,74,Campus Community School,Charter,TRUE,573,Campus Community School,TRUE,TRUE,Charter building,Campus Community Primary,1,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Principal,Principal,Position,School calculation unit,One per district school code or charter calculator building.,1,1,1,One principal per calculator charter building,TRUE
Proposed model,School,2026,2025-09-30,74,Campus Community School,Charter,TRUE,573,Campus Community School,TRUE,TRUE,Charter building,Campus Community Primary,1,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Vocational Deduct,Vocational Division I / Vocational Deduct,Position,UnitsVocationalDeduct,"Use the shared vocational deduction, allocated across charter buildings when needed.",-0,1,-0,Shared charter total allocated across buildings,TRUE
Proposed model,School,2026,2025-09-30,74,Campus Community School,Charter,TRUE,573,Campus Community School,TRUE,TRUE,Charter building,Campus Community Primary,1,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Vocational Division I,Vocational Division I / Vocational Deduct,Position,UnitsVocational,"Use the shared vocational positions, allocated across charter buildings when needed.",0,1,0,Shared charter total allocated across buildings,TRUE
Proposed model,School,2026,2025-09-30,74,Campus Community School,Charter,TRUE,573,Campus Community School,TRUE,TRUE,Charter building,Campus Community Junior High,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Administrative Support Professionals,Administrative Support Professionals,Position,AdministrativeSupportBase,One per 10 positions through 100; one per completed 12 thereafter.,12.055824175824178,,1,Calculated using threshold formula,TRUE
Proposed model,School,2026,2025-09-30,74,Campus Community School,Charter,TRUE,573,Campus Community School,TRUE,TRUE,Charter building,Campus Community Junior High,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Assistant Principal,Assistant Principal,Position,AssistantPrincipalBase,"Apply the 25, 30, 50, 55, and additional 20-position thresholds.",12.055824175824178,,0,Calculated using threshold formula,TRUE
Proposed model,School,2026,2025-09-30,74,Campus Community School,Charter,TRUE,573,Campus Community School,TRUE,TRUE,Charter building,Campus Community Junior High,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Division I Teacher - 4-12 Regular Education,Division I Teacher - 4-12 Regular Education,Position,Enrollment4_12,Regular 4-12 enrollment divided by 20.,115,0.05,5.75,Calculated from adjusted charter building input,TRUE
Proposed model,School,2026,2025-09-30,74,Campus Community School,Charter,TRUE,573,Campus Community School,TRUE,TRUE,Charter building,Campus Community Junior High,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Division I Teacher - Complex Special Education,Division I Teacher - Complex Special Education,Position,EnrollmentComplex,Complex enrollment divided by 2.6.,1,0.3846153846153846,0.3846153846153846,Calculated from adjusted charter building input,TRUE
Proposed model,School,2026,2025-09-30,74,Campus Community School,Charter,TRUE,573,Campus Community School,TRUE,TRUE,Charter building,Campus Community Junior High,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Division I Teacher - Intensive Special Education,Division I Teacher - Intensive Special Education,Position,EnrollmentIntense,Intensive enrollment divided by 6.,4,0.16666666666666666,0.6666666666666666,Calculated from adjusted charter building input,TRUE
Proposed model,School,2026,2025-09-30,74,Campus Community School,Charter,TRUE,573,Campus Community School,TRUE,TRUE,Charter building,Campus Community Junior High,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Division I Teacher - K-3 Regular Education,Division I Teacher - K-3 Regular Education,Position,EnrollmentK3,Regular K-3 enrollment divided by 16.2.,0,0.0617283950617284,0,Calculated from adjusted charter building input,TRUE
Proposed model,School,2026,2025-09-30,74,Campus Community School,Charter,TRUE,573,Campus Community School,TRUE,TRUE,Charter building,Campus Community Junior High,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Division I Teacher - Pre-K-12 Basic Special Education,Division I Teacher - Basic Special Education,Position,BasicPreK12Enrollment,Basic Pre-K special education plus Basic K-12 enrollment divided by 8.4.,19,0.11904761904761904,2.261904761904762,Calculated from adjusted charter building input,TRUE
Proposed model,School,2026,2025-09-30,74,Campus Community School,Charter,TRUE,573,Campus Community School,TRUE,TRUE,Charter building,Campus Community Junior High,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Instructional Supports,Instructional Supports,Position,BaseDivisionIPositions,"Twenty percent of all Base Division I positions, including vocational/program adjustment rows.",9.213186813186814,0.2,1.8426373626373629,Calculated from school calculation-unit Base Division I positions,TRUE
Proposed model,School,2026,2025-09-30,74,Campus Community School,Charter,TRUE,573,Campus Community School,TRUE,TRUE,Charter building,Campus Community Junior High,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Principal,Principal,Position,School calculation unit,One per district school code or charter calculator building.,1,1,1,One principal per calculator charter building,TRUE
Proposed model,School,2026,2025-09-30,74,Campus Community School,Charter,TRUE,573,Campus Community School,TRUE,TRUE,Charter building,Campus Community Junior High,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Vocational Deduct,Vocational Division I / Vocational Deduct,Position,UnitsVocationalDeduct,"Use the shared vocational deduction, allocated across charter buildings when needed.",-0.16,1,-0.16,Shared charter total allocated across buildings,TRUE
Proposed model,School,2026,2025-09-30,74,Campus Community School,Charter,TRUE,573,Campus Community School,TRUE,TRUE,Charter building,Campus Community Junior High,2,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Vocational Division I,Vocational Division I / Vocational Deduct,Position,UnitsVocational,"Use the shared vocational positions, allocated across charter buildings when needed.",0.31,1,0.31,Shared charter total allocated across buildings,TRUE
Proposed model,School,2026,2025-09-30,74,Campus Community School,Charter,TRUE,573,Campus Community School,TRUE,FALSE,Charter organization total,Campus Community School,,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Operational Funding (State Support),Operational Funding - Basic Special Education,Operational Funding - Basic Special Education,Weighted student,EnrollmentPreK + EnrollmentBasicK12,Basic Pre-K special education plus Basic K-12 enrollment multiplied by 0.48.,39,0.48,18.72,Calculated from official shared school/charter total,TRUE
Proposed model,School,2026,2025-09-30,74,Campus Community School,Charter,TRUE,573,Campus Community School,TRUE,FALSE,Charter organization total,Campus Community School,,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Operational Funding (State Support),Operational Funding - Complex Special Education,Operational Funding - Complex Special Education,Weighted student,EnrollmentComplex,Complex enrollment multiplied by 1.54.,7,1.54,10.780000000000001,Calculated from official shared school/charter total,TRUE
Proposed model,School,2026,2025-09-30,74,Campus Community School,Charter,TRUE,573,Campus Community School,TRUE,FALSE,Charter organization total,Campus Community School,,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Operational Funding (State Support),Operational Funding - Enrollment,Operational Funding - Enrollment,Weighted student,OperationalEnrollmentCount,The selected operational enrollment count multiplied by 0.20.,402,0.2,80.4,Calculated using total enrollment,TRUE
Proposed model,School,2026,2025-09-30,74,Campus Community School,Charter,TRUE,573,Campus Community School,TRUE,FALSE,Charter organization total,Campus Community School,,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Operational Funding (State Support),Operational Funding - Intensive Special Education,Operational Funding - Intensive Special Education,Weighted student,EnrollmentIntense,Intensive enrollment multiplied by 0.67.,8,0.67,5.36,Calculated from official shared school/charter total,TRUE
Proposed model,School,2026,2025-09-30,74,Campus Community School,Charter,TRUE,573,Campus Community School,TRUE,FALSE,Charter organization total,Campus Community School,,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Operational Funding (State Support),Operational Funding - Low Income,Operational Funding - Low Income,Weighted student,LI,Low-income enrollment multiplied by 0.675.,170,0.675,114.75000000000001,Calculated from official shared school/charter total,TRUE
Proposed model,School,2026,2025-09-30,74,Campus Community School,Charter,TRUE,573,Campus Community School,TRUE,FALSE,Charter organization total,Campus Community School,,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Operational Funding (State Support),Operational Funding - Multilingual Learner,Operational Funding - Multilingual Learner,Weighted student,MLL,Multilingual learner enrollment multiplied by 0.47.,5,0.47,2.3499999999999996,Calculated from official shared school/charter total,TRUE
Proposed model,School,2026,2025-09-30,74,Campus Community School,Charter,TRUE,573,Campus Community School,TRUE,FALSE,Charter organization total,Campus Community School,,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Operational Funding (State Support),Operational Funding - Vocational,Operational Funding - Vocational,Weighted student,VocationalEnrollment,Calculator vocational enrollment multiplied by 0.20.,11,0.2,2.2,Calculator charter organization-total row,TRUE
Proposed model,School,2026,2025-09-30,74,Campus Community School,Charter,TRUE,573,Campus Community School,TRUE,FALSE,Charter organization total,Campus Community School,,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Opportunity Funding (State Support),Opportunity Funding - Low Income,Opportunity Funding - Low Income,Weighted student,LI,Low-income enrollment multiplied by 0.675.,170,0.675,114.75000000000001,Calculated from official shared school/charter total,TRUE
Proposed model,School,2026,2025-09-30,74,Campus Community School,Charter,TRUE,573,Campus Community School,TRUE,FALSE,Charter organization total,Campus Community School,,2,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Opportunity Funding (State Support),Opportunity Funding - Multilingual Learner,Opportunity Funding - Multilingual Learner,Weighted student,MLL,Multilingual learner enrollment multiplied by 0.47.,5,0.47,2.3499999999999996,Calculated from official shared school/charter total,TRUE
Proposed model,LEA,2026,2025-09-30,17,Cape Henlopen School District,District,TRUE,,LEA Total,FALSE,FALSE,LEA total,LEA Total,,10,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Central Office Funding (State Support),11-Month Supervisor,11-Month Supervisor,Position,TotalBasePositions,Total Base positions divided by 150; fractional positions are retained.,799.24242002442,0.006666666666666667,5.3282828001628,Calculated from Total Base positions; fractional positions retained,TRUE
Proposed model,LEA,2026,2025-09-30,17,Cape Henlopen School District,District,TRUE,,LEA Total,FALSE,FALSE,LEA total,LEA Total,,10,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Central Office Funding (State Support),Administrative Assistant,Administrative Assistant,Position,LEA,One position per LEA.,1,1,1,Calculated,TRUE
Proposed model,LEA,2026,2025-09-30,17,Cape Henlopen School District,District,TRUE,,LEA Total,FALSE,FALSE,LEA total,LEA Total,,10,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Central Office Funding (State Support),Assistant Superintendent,Assistant Superintendent,Position,TotalBasePositions,"One per completed 300 Total Base positions, capped at two. The proposed materials do not explicitly authorize fractional positions, so the current-model completed-threshold rule is retained.",799.24242002442,,2,Calculated from Total Base positions using completed 300-position thresholds; maximum two,TRUE
Proposed model,LEA,2026,2025-09-30,17,Cape Henlopen School District,District,TRUE,,LEA Total,FALSE,FALSE,LEA total,LEA Total,,10,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Central Office Funding (State Support),Buildings and Grounds Supervisor,Buildings and Grounds Supervisor,Position,LEA,One position per LEA.,1,1,1,Calculated,TRUE
Proposed model,LEA,2026,2025-09-30,17,Cape Henlopen School District,District,TRUE,,LEA Total,FALSE,FALSE,LEA total,LEA Total,,10,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Central Office Funding (State Support),Director,Director,Position,TotalBasePositions,"One at 200 Total Base positions plus one per completed additional 100, capped at six.",799.24242002442,,6,Calculated from Total Base positions using completed thresholds,TRUE
Proposed model,LEA,2026,2025-09-30,17,Cape Henlopen School District,District,TRUE,,LEA Total,FALSE,FALSE,LEA total,LEA Total,,10,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Central Office Funding (State Support),Food Services Supervisor,Food Services Supervisor,Position,BaseDivisionIPositions,One per LEA plus one per completed 500 Base Division I positions beyond the first 500.,582.7436833536833,,1,Calculated from Base Division I positions using completed thresholds,TRUE
Proposed model,LEA,2026,2025-09-30,17,Cape Henlopen School District,District,TRUE,,LEA Total,FALSE,FALSE,LEA total,LEA Total,,10,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Central Office Funding (State Support),Reading Cadre,Reading Cadre,Position,LEA,One position per LEA.,1,1,1,Calculated,TRUE
Proposed model,LEA,2026,2025-09-30,17,Cape Henlopen School District,District,TRUE,,LEA Total,FALSE,FALSE,LEA total,LEA Total,,10,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Central Office Funding (State Support),Superintendent,Superintendent,Position,LEA,One position per LEA.,1,1,1,Calculated,TRUE
Proposed model,LEA,2026,2025-09-30,17,Cape Henlopen School District,District,TRUE,,LEA Total,FALSE,FALSE,LEA total,LEA Total,,10,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Central Office Funding (State Support),Transportation Supervisor,Transportation Supervisor,Position,Enrollment,"Enrollment divided by 7,500.",6731,1.3333333333333334e-4,0.8974666666666666,Calculated,TRUE
Proposed model,School,2026,2025-09-30,17,Cape Henlopen School District,District,TRUE,724,Beacon Middle School,TRUE,TRUE,School-code record,Beacon Middle School,1,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Administrative Support Professionals,Administrative Support Professionals,Position,AdministrativeSupportBase,One per 10 positions through 100; one per completed 12 thereafter.,41.03934065934066,,4,Calculated using threshold formula,TRUE
Proposed model,School,2026,2025-09-30,17,Cape Henlopen School District,District,TRUE,724,Beacon Middle School,TRUE,TRUE,School-code record,Beacon Middle School,1,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Assistant Principal,Assistant Principal,Position,AssistantPrincipalBase,"Apply the 25, 30, 50, 55, and additional 20-position thresholds.",44.03934065934066,,1,Calculated using threshold formula,TRUE
Proposed model,School,2026,2025-09-30,17,Cape Henlopen School District,District,TRUE,724,Beacon Middle School,TRUE,TRUE,School-code record,Beacon Middle School,1,1,total,Districts use one school code per calculation unit; charters use calculator building rows and retain the shared charter totals; student enrollment categories use largest remainder,Base Funding (State Support),Division I Teacher - 4-12 Regular Education,Division I Teacher - 4-12 Regular Education,Position,Enrollment4_12,Regular 4-12 enrollment divided by 20.,410,0.05,20.5,Calculated from shared school-code input,TRUE
